class:method:signature:line,sbfl_score
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1325,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1335,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1343,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1347,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1338,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1346,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1341,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1321,0.5
org.apache.commons.lang3.math.NumberUtils:createNumber:(Ljava/lang/String;)Ljava/lang/Number;:449,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createInteger:(Ljava/lang/String;)Ljava/lang/Integer;:661,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createInteger:(Ljava/lang/String;)Ljava/lang/Integer;:665,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createNumber:(Ljava/lang/String;)Ljava/lang/Number;:465,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createNumber:(Ljava/lang/String;)Ljava/lang/Number;:507,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createNumber:(Ljava/lang/String;)Ljava/lang/Number;:503,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createNumber:(Ljava/lang/String;)Ljava/lang/Number;:455,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createNumber:(Ljava/lang/String;)Ljava/lang/Number;:500,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createNumber:(Ljava/lang/String;)Ljava/lang/Number;:462,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createNumber:(Ljava/lang/String;)Ljava/lang/Number;:499,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createNumber:(Ljava/lang/String;)Ljava/lang/Number;:491,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createNumber:(Ljava/lang/String;)Ljava/lang/Number;:469,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createNumber:(Ljava/lang/String;)Ljava/lang/Number;:470,0.3333333333333333
