class:method:signature:line,sbfl_score
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3722,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3723,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3725,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3726,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3684,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3682,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3677,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3650,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3624,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3627,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3635,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3638,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3639,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3640,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3644,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3645,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3615,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3653,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3612,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3654,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3656,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3657,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3658,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3665,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3666,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3669,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3672,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3675,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3676,0.5
